Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-10-01 00:39,Close entry(s) order Long,114129.43,0.008759,999.9114986,-4.25,-0.42,0,0.00,-2.35,-0.23,-4.25,-0.04
1,Entry long,2025-10-01 00:36,Long,114158.18,0.008759,999.9114986,-4.25,-0.42,0,0.00,-2.35,-0.23,-4.25,-0.04
2,Exit long,2025-10-01 01:34,Close entry(s) order Long,114266.33,0.008751,999.9573428,-4.01,-0.40,0,0.00,-2.8,-0.28,-8.26,-0.08
2,Entry long,2025-10-01 00:54,Long,114267.78,0.008751,999.9573428,-4.01,-0.40,0,0.00,-2.8,-0.28,-8.26,-0.08
3,Exit long,2025-10-01 02:22,Close entry(s) order Long,114478.82,0.00874,999.8963788,-3.35,-0.33,0,0.00,-2.18,-0.22,-11.62,-0.12
3,Entry long,2025-10-01 01:37,Long,114404.62,0.00874,999.8963788,-3.35,-0.33,0,0.00,-2.18,-0.22,-11.62,-0.12
4,Exit long,2025-10-01 03:42,Close entry(s) order Long,114369.37,0.008739,999.9705618,-4.5,-0.45,0,0.00,-2.55,-0.25,-16.11,-0.16
4,Entry long,2025-10-01 03:11,Long,114426.2,0.008739,999.9705618,-4.5,-0.45,0,0.00,-2.55,-0.25,-16.11,-0.16
5,Exit long,2025-10-01 04:53,Close entry(s) order Long,114438.22,0.008742,999.913282,-3.5,-0.35,1.27,0.13,-2.18,-0.22,-19.61,-0.20
5,Entry long,2025-10-01 04:05,Long,114380.38,0.008742,999.913282,-3.5,-0.35,1.27,0.13,-2.18,-0.22,-19.61,-0.20
6,Exit long,2025-10-01 05:43,Close entry(s) order Long,114618.19,0.008723,999.9290044,-4.11,-0.41,0,0.00,-2.55,-0.25,-23.72,-0.24
6,Entry long,2025-10-01 05:10,Long,114631.32,0.008723,999.9290044,-4.11,-0.41,0,0.00,-2.55,-0.25,-23.72,-0.24
7,Exit long,2025-10-01 05:58,Close entry(s) order Long,114588.6,0.008721,999.9861394,-4.66,-0.46,0,0.00,-2.68,-0.27,-28.38,-0.28
7,Entry long,2025-10-01 05:50,Long,114664.16,0.008721,999.9861394,-4.66,-0.46,0,0.00,-2.68,-0.27,-28.38,-0.28
8,Exit long,2025-10-01 06:47,Close entry(s) order Long,114397.67,0.008727,999.9166207,-5.56,-0.56,0,0.00,-3.76,-0.38,-33.94,-0.34
8,Entry long,2025-10-01 06:41,Long,114577.36,0.008727,999.9166207,-5.56,-0.56,0,0.00,-3.76,-0.38,-33.94,-0.34
9,Exit long,2025-10-01 07:08,Close entry(s) order Long,114375.7,0.00874,999.9404284,-4.3,-0.43,0,0.00,-2.3,-0.23,-38.24,-0.38
9,Entry long,2025-10-01 07:06,Long,114409.66,0.00874,999.9404284,-4.3,-0.43,0,0.00,-2.3,-0.23,-38.24,-0.38
10,Exit long,2025-10-01 10:12,Close entry(s) order Long,116390.26,0.008738,999.9446515,13.04,1.30,16.79,1.68,-2.2,-0.22,-25.2,-0.25
10,Entry long,2025-10-01 07:10,Long,114436.33,0.008738,999.9446515,13.04,1.30,16.79,1.68,-2.2,-0.22,-25.2,-0.25
11,Exit long,2025-10-01 10:52,Close entry(s) order Long,116271.58,0.008592,999.910067,-4.9,-0.49,0,0.00,-2.92,-0.29,-30.1,-0.30
11,Entry long,2025-10-01 10:48,Long,116376.87,0.008592,999.910067,-4.9,-0.49,0,0.00,-2.92,-0.29,-30.1,-0.30
12,Exit long,2025-10-01 11:29,Close entry(s) order Long,116330.97,0.008593,999.944123,-4.31,-0.43,0,0.00,-2.38,-0.24,-34.41,-0.34
12,Entry long,2025-10-01 11:04,Long,116367.29,0.008593,999.944123,-4.31,-0.43,0,0.00,-2.38,-0.24,-34.41,-0.34
13,Exit long,2025-10-01 12:31,Close entry(s) order Long,116631.86,0.008589,999.9389383,-2.19,-0.22,2.99,0.30,-2.01,-0.20,-36.6,-0.37
13,Entry long,2025-10-01 11:33,Long,116420.88,0.008589,999.9389383,-2.19,-0.22,2.99,0.30,-2.01,-0.20,-36.6,-0.37
14,Exit long,2025-10-01 13:42,Close entry(s) order Long,116492.94,0.008581,999.9196458,-4.29,-0.43,0.18,0.02,-2.39,-0.24,-40.9,-0.41
14,Entry long,2025-10-01 13:07,Long,116527.17,0.008581,999.9196458,-4.29,-0.43,0.18,0.02,-2.39,-0.24,-40.9,-0.41
15,Exit long,2025-10-01 14:50,Close entry(s) order Long,117230.93,0.008565,999.9126169,0.16,0.02,4.19,0.42,-2.11,-0.21,-40.73,-0.41
15,Entry long,2025-10-01 13:54,Long,116744.03,0.008565,999.9126169,0.16,0.02,4.19,0.42,-2.11,-0.21,-40.73,-0.41
16,Exit long,2025-10-01 15:08,Close entry(s) order Long,117175.5,0.008521,999.9899647,-5.53,-0.55,0,0.00,-3.6,-0.36,-46.27,-0.46
16,Entry long,2025-10-01 14:56,Long,117355.94,0.008521,999.9899647,-5.53,-0.55,0,0.00,-3.6,-0.36,-46.27,-0.46
17,Exit long,2025-10-01 15:50,Close entry(s) order Long,117374.55,0.008521,999.9992526,-3.85,-0.38,0.37,0.04,-2.34,-0.23,-50.12,-0.50
17,Entry long,2025-10-01 15:21,Long,117357.03,0.008521,999.9992526,-3.85,-0.38,0.37,0.04,-2.34,-0.23,-50.12,-0.50
18,Exit long,2025-10-01 16:51,Close entry(s) order Long,117781.38,0.008506,999.9803306,-2.14,-0.21,3.9,0.39,-2.25,-0.22,-52.26,-0.52
18,Entry long,2025-10-01 16:05,Long,117561.76,0.008506,999.9803306,-2.14,-0.21,3.9,0.39,-2.25,-0.22,-52.26,-0.52
19,Exit long,2025-10-01 18:20,Close entry(s) order Long,116922.29,0.008545,999.8961658,-4.79,-0.48,0,0.00,-2.86,-0.29,-57.05,-0.57
19,Entry long,2025-10-01 18:15,Long,117015.35,0.008545,999.8961658,-4.79,-0.48,0,0.00,-2.86,-0.29,-57.05,-0.57
20,Exit long,2025-10-01 19:56,Close entry(s) order Long,117314.47,0.008543,999.9777989,-1.76,-0.18,2.87,0.29,-2.2,-0.22,-58.81,-0.59
20,Entry long,2025-10-01 18:27,Long,117052.3,0.008543,999.9777989,-1.76,-0.18,2.87,0.29,-2.2,-0.22,-58.81,-0.59
21,Exit long,2025-10-01 20:48,Close entry(s) order Long,117299.39,0.00852,999.980898,-4.59,-0.46,0,0.00,-2.59,-0.26,-63.4,-0.63
21,Entry long,2025-10-01 20:30,Long,117368.65,0.00852,999.980898,-4.59,-0.46,0,0.00,-2.59,-0.26,-63.4,-0.63
22,Exit long,2025-10-01 21:25,Close entry(s) order Long,117411.55,0.008517,999.9658097,-3.97,-0.40,0,0.00,-2.06,-0.21,-67.37,-0.67
22,Entry long,2025-10-01 20:52,Long,117408.22,0.008517,999.9658097,-3.97,-0.40,0,0.00,-2.06,-0.21,-67.37,-0.67
23,Exit long,2025-10-01 22:37,Close entry(s) order Long,117749.03,0.008514,999.953464,-1.44,-0.14,3.11,0.31,-2.46,-0.25,-68.82,-0.69
23,Entry long,2025-10-01 21:52,Long,117448.14,0.008514,999.953464,-1.44,-0.14,3.11,0.31,-2.46,-0.25,-68.82,-0.69
24,Exit long,2025-10-01 23:01,Close entry(s) order Long,117685.74,0.008486,999.9572295,-5.27,-0.53,0,0.00,-3.36,-0.34,-74.09,-0.74
24,Entry long,2025-10-01 22:49,Long,117836.11,0.008486,999.9572295,-5.27,-0.53,0,0.00,-3.36,-0.34,-74.09,-0.74
25,Exit long,2025-10-02 00:31,Close entry(s) order Long,118819.14,0.008485,999.8982792,4.27,0.43,10.85,1.08,-2.74,-0.27,-69.82,-0.70
25,Entry long,2025-10-01 23:07,Long,117843.05,0.008485,999.8982792,4.27,0.43,10.85,1.08,-2.74,-0.27,-69.82,-0.70
26,Exit long,2025-10-02 01:19,Close entry(s) order Long,118464.94,0.008432,999.9680813,-5.07,-0.51,0,0.00,-3.28,-0.33,-74.89,-0.75
26,Entry long,2025-10-02 01:11,Long,118592.04,0.008432,999.9680813,-5.07,-0.51,0,0.00,-3.28,-0.33,-74.89,-0.75
27,Exit long,2025-10-02 02:01,Close entry(s) order Long,118581.36,0.008428,999.9470552,-4.54,-0.45,0,0.00,-2.94,-0.29,-79.44,-0.79
27,Entry long,2025-10-02 01:33,Long,118645.83,0.008428,999.9470552,-4.54,-0.45,0,0.00,-2.94,-0.29,-79.44,-0.79
28,Exit long,2025-10-02 02:23,Close entry(s) order Long,118571.75,0.008422,999.9639359,-5.35,-0.53,0,0.00,-3.38,-0.34,-84.79,-0.85
28,Entry long,2025-10-02 02:15,Long,118732.36,0.008422,999.9639359,-5.35,-0.53,0,0.00,-3.38,-0.34,-84.79,-0.85
29,Exit long,2025-10-02 03:38,Close entry(s) order Long,118818.37,0.008427,999.8944771,-2.61,-0.26,1.3,0.13,-2.56,-0.26,-87.4,-0.87
29,Entry long,2025-10-02 02:39,Long,118653.67,0.008427,999.8944771,-2.61,-0.26,1.3,0.13,-2.56,-0.26,-87.4,-0.87
30,Exit long,2025-10-02 03:48,Close entry(s) order Long,118824.45,0.008404,999.9680086,-5.36,-0.54,0,0.00,-3.37,-0.34,-92.76,-0.93
30,Entry long,2025-10-02 03:44,Long,118987.15,0.008404,999.9680086,-5.36,-0.54,0,0.00,-3.37,-0.34,-92.76,-0.93
31,Exit long,2025-10-02 04:19,Close entry(s) order Long,118781.98,0.008411,999.9630989,-4.89,-0.49,0,0.00,-2.99,-0.30,-97.65,-0.98
31,Entry long,2025-10-02 04:08,Long,118887.54,0.008411,999.9630989,-4.89,-0.49,0,0.00,-2.99,-0.30,-97.65,-0.98
32,Exit long,2025-10-02 05:09,Close entry(s) order Long,118613.52,0.00843,999.9521847,-4.04,-0.40,0,0.00,-2.57,-0.26,-101.69,-1.02
32,Entry long,2025-10-02 04:52,Long,118618.29,0.00843,999.9521847,-4.04,-0.40,0,0.00,-2.57,-0.26,-101.69,-1.02
33,Exit long,2025-10-02 05:36,Close entry(s) order Long,118504.92,0.008426,999.8851086,-5.36,-0.53,0,0.00,-3.36,-0.34,-107.05,-1.07
33,Entry long,2025-10-02 05:29,Long,118666.64,0.008426,999.8851086,-5.36,-0.53,0,0.00,-3.36,-0.34,-107.05,-1.07
34,Exit long,2025-10-02 06:19,Close entry(s) order Long,118434.11,0.008436,999.942279,-4.83,-0.48,0,0.00,-2.94,-0.29,-111.88,-1.12
34,Entry long,2025-10-02 06:08,Long,118532.75,0.008436,999.942279,-4.83,-0.48,0,0.00,-2.94,-0.29,-111.88,-1.12
35,Exit long,2025-10-02 06:24,Close entry(s) order Long,118430.23,0.008442,999.9722061,-4.18,-0.42,0,0.00,-2.28,-0.23,-116.06,-1.16
35,Entry long,2025-10-02 06:20,Long,118452.05,0.008442,999.9722061,-4.18,-0.42,0,0.00,-2.28,-0.23,-116.06,-1.16
36,Exit long,2025-10-02 07:21,Close entry(s) order Long,118554.61,0.008439,999.9242827,-3.44,-0.34,0.04,0.00,-2.27,-0.23,-119.51,-1.20
36,Entry long,2025-10-02 06:26,Long,118488.48,0.008439,999.9242827,-3.44,-0.34,0.04,0.00,-2.27,-0.23,-119.51,-1.20
37,Exit long,2025-10-02 08:05,Close entry(s) order Long,118475.68,0.008435,999.9686595,-4.62,-0.46,0,0.00,-3.34,-0.33,-124.13,-1.24
37,Entry long,2025-10-02 08:01,Long,118549.93,0.008435,999.9686595,-4.62,-0.46,0,0.00,-3.34,-0.33,-124.13,-1.24
38,Exit long,2025-10-02 09:06,Close entry(s) order Long,118591.45,0.008432,999.8900853,-3.93,-0.39,0,0.00,-2.31,-0.23,-128.06,-1.28
38,Entry long,2025-10-02 08:24,Long,118582.79,0.008432,999.8900853,-3.93,-0.39,0,0.00,-2.31,-0.23,-128.06,-1.28
39,Exit long,2025-10-02 09:40,Close entry(s) order Long,118630.87,0.008427,999.954983,-4.25,-0.42,0,0.00,-2.35,-0.23,-132.31,-1.32
39,Entry long,2025-10-02 09:18,Long,118660.85,0.008427,999.954983,-4.25,-0.42,0,0.00,-2.35,-0.23,-132.31,-1.32
40,Exit long,2025-10-02 10:08,Close entry(s) order Long,118732.3,0.008414,999.9394488,-4.92,-0.49,0,0.00,-3.16,-0.32,-137.23,-1.37
40,Entry long,2025-10-02 09:45,Long,118842.34,0.008414,999.9394488,-4.92,-0.49,0,0.00,-3.16,-0.32,-137.23,-1.37
41,Exit long,2025-10-02 10:55,Close entry(s) order Long,118667.82,0.008421,999.9705922,-4.67,-0.47,0,0.00,-2.72,-0.27,-141.9,-1.42
41,Entry long,2025-10-02 10:36,Long,118747.25,0.008421,999.9705922,-4.67,-0.47,0,0.00,-2.72,-0.27,-141.9,-1.42
42,Exit long,2025-10-02 13:11,Close entry(s) order Long,119286.15,0.008423,999.9161456,0.82,0.08,4.56,0.45,-2.46,-0.25,-141.08,-1.41
42,Entry long,2025-10-02 11:21,Long,118712.59,0.008423,999.9161456,0.82,0.08,4.56,0.45,-2.46,-0.25,-141.08,-1.41
43,Exit long,2025-10-02 14:09,Close entry(s) order Long,119467.63,0.008378,999.9143,-3.02,-0.30,1.7,0.17,-3.02,-0.30,-144.1,-1.44
43,Entry long,2025-10-02 13:33,Long,119350,0.008378,999.9143,-3.02,-0.30,1.7,0.17,-3.02,-0.30,-144.1,-1.44
44,Exit long,2025-10-02 14:22,Close entry(s) order Long,119543.11,0.008356,999.9155593,-5.01,-0.50,0,0.00,-3.75,-0.37,-149.11,-1.49
44,Entry long,2025-10-02 14:18,Long,119664.38,0.008356,999.9155593,-5.01,-0.50,0,0.00,-3.75,-0.37,-149.11,-1.49
45,Exit long,2025-10-02 14:36,Close entry(s) order Long,119446.96,0.008355,999.9814594,-6,-0.60,0,0.00,-4,-0.40,-155.1,-1.55
45,Entry long,2025-10-02 14:23,Long,119686.59,0.008355,999.9814594,-6,-0.60,0,0.00,-4,-0.40,-155.1,-1.55
46,Exit long,2025-10-02 16:37,Close entry(s) order Long,119908.35,0.008392,999.9682294,2.29,0.23,7.62,0.76,-2.9,-0.29,-152.81,-1.53
46,Entry long,2025-10-02 15:12,Long,119157.32,0.008392,999.9682294,2.29,0.23,7.62,0.76,-2.9,-0.29,-152.81,-1.53
47,Exit long,2025-10-02 19:28,Close entry(s) order Long,120695.64,0.008359,999.9889254,4.89,0.49,9.32,0.93,-3.19,-0.32,-147.93,-1.48
